@relation  employee_promotion
@attribute region{region_7,region_22,region_19,region_23,region_26,region_2,region_20,region_34,region_1,region_4,region_29,region_31,region_15,region_14,region_11,region_5,region_28,region_17,region_13,region_16,region_25,region_10,region_27,region_30,region_12,region_21,region_8,region_32,region_6,region_33,region_24,region_3,region_9,region_18}
@attribute education{Mastersabove,Bachelors,BelowSecondary}
@attribute gender{f,m}
@attribute recruitment_channel{sourcing,other,referred}
@attribute no_of_trainings integer[1,10]
@attribute age integer[20,60]
@attribute previous_year_rating integer[1,5]
@attribute length_of_service integer[1,37]
@attribute KPIs_met{T,F}
@attribute awards_won{F,T}
@attribute avg_training_score integer[39,99]
@attribute Class{F,T}
@inputs region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met,awards_won,avg_training_score
@outputs Class
@data
region_22, Bachelors, m, sourcing, 1, 30, 4, 7, F, F, 88, F
region_4, Bachelors, m, other, 4, 29, ?, 1, F, F, 85, F
region_4, Bachelors, f, other, 1, 32, 3, 5, F, F, 85, F
region_31, Bachelors, m, other, 2, 29, 3, 4, T, F, 86, F
region_26, Bachelors, m, sourcing, 4, 33, 5, 4, T, F, 86, F
region_13, Bachelors, m, sourcing, 1, 31, 3, 5, F, F, 81, F
region_12, Bachelors, m, sourcing, 2, 32, 3, 2, F, F, 81, F
region_2, Bachelors, m, other, 1, 35, 2, 5, F, F, 88, F
region_32, Mastersabove, m, other, 1, 29, 3, 2, F, F, 83, F
region_26, Bachelors, m, referred, 1, 30, 4, 3, F, F, 83, F
region_8, Bachelors, m, other, 1, 27, 3, 4, F, F, 84, F
region_4, Mastersabove, m, sourcing, 1, 38, 5, 4, T, F, 83, F
region_25, Mastersabove, m, other, 1, 38, 4, 9, T, F, 84, F
region_7, Bachelors, m, other, 3, 29, 4, 3, T, F, 80, F
region_16, Bachelors, m, other, 1, 33, 4, 7, F, F, 85, F
region_7, Mastersabove, m, sourcing, 1, 36, 5, 7, F, F, 82, F
region_2, ?, m, other, 1, 27, 5, 2, F, F, 82, F
region_7, Bachelors, m, sourcing, 1, 29, 5, 3, F, F, 82, F
region_22, Mastersabove, m, sourcing, 1, 30, 5, 4, T, F, 85, F
region_32, Bachelors, m, sourcing, 1, 29, 4, 2, F, F, 86, F
region_22, Bachelors, m, other, 1, 31, 4, 5, F, F, 84, F
